=== Chunked Prefill Log Sun Dec  7 10:53:26 PM UTC 2025 ===
=== Chunked Prefill Logs for meta-llama/Llama-3.1-8B at Sun Dec  7 11:39:52 PM UTC 2025 ===
[2025-12-07 22:56:01] Running chunked_prefill: req=56162b46948d48c99afe1554dda0134a, extend_input_len=57, rem_tokens=8192
[2025-12-07 23:39:05] Running chunked_prefill: req=05713aaca32c40e8bac589d757fa8915, extend_input_len=112, rem_tokens=8192
[2025-12-07 23:39:05] Running chunked_prefill: req=a6abaf05d8544c7bae844b9095bc98b7, extend_input_len=111, rem_tokens=8192
[2025-12-07 23:39:06] Running chunked_prefill: req=603301cf193347f9a1f1985f3a30012d, extend_input_len=118, rem_tokens=8192
[2025-12-07 23:39:06] Running chunked_prefill: req=ba3ffbe676ce4ea5885bb8836e43cc7e, extend_input_len=114, rem_tokens=8192
[2025-12-07 23:39:07] Running chunked_prefill: req=db09065382c543749b7265e8147202e0, extend_input_len=113, rem_tokens=8192
[2025-12-07 23:39:07] Running chunked_prefill: req=a5c9b3893c2c4b5ab5f481d88ec90afe, extend_input_len=112, rem_tokens=8192
[2025-12-07 23:39:07] Running chunked_prefill: req=d78e23a7e47f4bf1be864d4bdeb9caaa, extend_input_len=109, rem_tokens=8192
[2025-12-07 23:39:08] Running chunked_prefill: req=72fa40eb7960457fbb380324f369216c, extend_input_len=108, rem_tokens=8192
[2025-12-07 23:39:08] Running chunked_prefill: req=66ce99fb42c7404abbe64f67af03b618, extend_input_len=108, rem_tokens=8192
[2025-12-07 23:39:08] Running chunked_prefill: req=3398768af026418f8f4a313f70549da9, extend_input_len=125, rem_tokens=8192
[2025-12-07 23:39:09] Running chunked_prefill: req=4e23da7b20f4476aa411a2fca34aef2b, extend_input_len=110, rem_tokens=8192
[2025-12-07 23:39:09] Running chunked_prefill: req=ad3690884bfe4433952d6ccf466ffab5, extend_input_len=111, rem_tokens=8192
[2025-12-07 23:39:09] Running chunked_prefill: req=2c20690e5035486c8492efd57568ad83, extend_input_len=111, rem_tokens=8192
[2025-12-07 23:39:10] Running chunked_prefill: req=4ef8294d01d64dcca9f80f414db6d5d6, extend_input_len=112, rem_tokens=8192
[2025-12-07 23:39:10] Running chunked_prefill: req=c1571d19263841dda646ba287c266d65, extend_input_len=109, rem_tokens=8192
[2025-12-07 23:39:10] Running chunked_prefill: req=cfa0450a391848baa62cbbee086f149f, extend_input_len=119, rem_tokens=8192
[2025-12-07 23:39:11] Running chunked_prefill: req=d9158f85db704ea0ba48622d200eb5ee, extend_input_len=107, rem_tokens=8192
[2025-12-07 23:39:11] Running chunked_prefill: req=324547f421344be9aff1e6da23d8c86b, extend_input_len=137, rem_tokens=8192
[2025-12-07 23:39:12] Running chunked_prefill: req=72add595fabe4627ada14edb93799e53, extend_input_len=110, rem_tokens=8192
[2025-12-07 23:39:12] Running chunked_prefill: req=aa595714ff5b4d76b89144052fa73e5f, extend_input_len=128, rem_tokens=7307
[2025-12-07 23:39:17] Running chunked_prefill: req=17cb778dfbce48cf8068f2cd4fdaa327, extend_input_len=108, rem_tokens=3622
[2025-12-07 23:39:18] Running chunked_prefill: req=796a2ecbf2374ed78166af9b7f7254f6, extend_input_len=107, rem_tokens=8192
[2025-12-07 23:39:19] Running chunked_prefill: req=da0bcbedaa7c4487a4783fdc62a2ba01, extend_input_len=121, rem_tokens=8192
[2025-12-07 23:39:19] Running chunked_prefill: req=d5931effecee4930a96ef5ab5103902c, extend_input_len=106, rem_tokens=3618
[2025-12-07 23:39:19] Running chunked_prefill: req=835be0217ba347e8aaafba7e9bd5bec5, extend_input_len=104, rem_tokens=8192
[2025-12-07 23:39:20] Running chunked_prefill: req=cfab664f1ac04207b17d6a413257c971, extend_input_len=106, rem_tokens=8192
[2025-12-07 23:39:20] Running chunked_prefill: req=caf561d5976b4b3cb06efa44eb8e8327, extend_input_len=112, rem_tokens=8192
[2025-12-07 23:39:21] Running chunked_prefill: req=557cc952d9634c3eaeb6339b36425f60, extend_input_len=105, rem_tokens=8192
[2025-12-07 23:39:21] Running chunked_prefill: req=4a544d575fe64c4d8ef4af36da5e29d3, extend_input_len=107, rem_tokens=8192
[2025-12-07 23:39:21] Running chunked_prefill: req=794ed5aed4744763abf0405d83ed1229, extend_input_len=105, rem_tokens=8192
[2025-12-07 23:39:22] Running chunked_prefill: req=1255a2cb2030498bacf398aac79191d3, extend_input_len=104, rem_tokens=8192
[2025-12-07 23:39:22] Running chunked_prefill: req=8d254c05c2fe4981a63e235179ff4ff2, extend_input_len=106, rem_tokens=8192
[2025-12-07 23:39:22] Running chunked_prefill: req=c3593995419644e0a9dd37087c83fa6c, extend_input_len=105, rem_tokens=8192
[2025-12-07 23:39:23] Running chunked_prefill: req=c8c79303915d4b068204fdf4873bf1ff, extend_input_len=103, rem_tokens=8192
[2025-12-07 23:39:23] Running chunked_prefill: req=11666ee65610450aa9b66712e45d188f, extend_input_len=103, rem_tokens=8192
[2025-12-07 23:39:23] Running chunked_prefill: req=2bfb9560d8b240d9839d0eca01188a8d, extend_input_len=102, rem_tokens=8192
[2025-12-07 23:39:24] Running chunked_prefill: req=9f95daa6c1274c4c8ff1545810c9b4e3, extend_input_len=106, rem_tokens=8192
[2025-12-07 23:39:24] Running chunked_prefill: req=d36a5f6de5144a63aad9d82a8612f5a0, extend_input_len=107, rem_tokens=5064
[2025-12-07 23:39:25] Running chunked_prefill: req=5bae1deb27b643f6a486f5e339547173, extend_input_len=101, rem_tokens=8192
[2025-12-07 23:39:25] Running chunked_prefill: req=0efdb44ea1734b86be41c8dc80ac9744, extend_input_len=100, rem_tokens=8192
[2025-12-07 23:39:25] Running chunked_prefill: req=8a164c5b65824f7496b1303009c1202a, extend_input_len=105, rem_tokens=8192
[2025-12-07 23:39:26] Running chunked_prefill: req=47ff21fc5d504987a1bca9972865d7c1, extend_input_len=110, rem_tokens=8192
[2025-12-07 23:39:26] Running chunked_prefill: req=1cc20b8388b34f278b35aae12d0ff7d9, extend_input_len=101, rem_tokens=8192
[2025-12-07 23:39:26] Running chunked_prefill: req=cf98899199f94d5b8ab09ceb347d7214, extend_input_len=96, rem_tokens=8192
[2025-12-07 23:39:27] Running chunked_prefill: req=4ec6113f8f75400780851ae71ae12a0b, extend_input_len=106, rem_tokens=8192
[2025-12-07 23:39:27] Running chunked_prefill: req=8f093a6eaf594e27afef9d319444d26a, extend_input_len=107, rem_tokens=8192
[2025-12-07 23:39:27] Running chunked_prefill: req=6dc39669100d46489d74ee536d88bf2c, extend_input_len=106, rem_tokens=8192
[2025-12-07 23:39:28] Running chunked_prefill: req=6495e0183f3f4e97b7b6c4982363f143, extend_input_len=117, rem_tokens=8192
[2025-12-07 23:39:28] Running chunked_prefill: req=aabe1abf98af4e7fb39fe6521117e445, extend_input_len=100, rem_tokens=6244
[2025-12-07 23:39:29] Running chunked_prefill: req=3659cfb718e64953b40d095ee2a8ae61, extend_input_len=101, rem_tokens=6263
[2025-12-07 23:39:33] Running chunked_prefill: req=caeed05aa93e43188622ce32eb06dde2, extend_input_len=100, rem_tokens=8192
[2025-12-07 23:39:34] Running chunked_prefill: req=232ebb63be424605905c482b84f75e94, extend_input_len=101, rem_tokens=8192
[2025-12-07 23:39:34] Running chunked_prefill: req=00cdc0ee34be46cba63195db2a5dc258, extend_input_len=105, rem_tokens=8192
[2025-12-07 23:39:34] Running chunked_prefill: req=dd0868995aae4dabba2cd3629a69da3b, extend_input_len=101, rem_tokens=8192
[2025-12-07 23:39:35] Running chunked_prefill: req=85dfedde554b479781e48268b1f11790, extend_input_len=101, rem_tokens=8192
[2025-12-07 23:39:35] Running chunked_prefill: req=d116fdf8de4547d7862bb4fdc5760463, extend_input_len=101, rem_tokens=8192
[2025-12-07 23:39:35] Running chunked_prefill: req=36d0adf89d8f4f279dfda37a1ecbfad3, extend_input_len=99, rem_tokens=8192
[2025-12-07 23:39:36] Running chunked_prefill: req=e0484832b816468393e8f4c323283a87, extend_input_len=103, rem_tokens=8192
[2025-12-07 23:39:36] Running chunked_prefill: req=be3613a519df4a9590e22c5cde54d66c, extend_input_len=101, rem_tokens=8192
[2025-12-07 23:39:37] Running chunked_prefill: req=3d72a858747d431aaf36df4909d9fac1, extend_input_len=101, rem_tokens=8192
[2025-12-07 23:39:37] Running chunked_prefill: req=5546c25fd6324b5ab6ee6f6b5c131523, extend_input_len=101, rem_tokens=8192
[2025-12-07 23:39:37] Running chunked_prefill: req=d2962b8af86c49c7895374004cb559a4, extend_input_len=99, rem_tokens=8192
[2025-12-07 23:39:38] Running chunked_prefill: req=2f778d32e3a249298164cde0f2c2ad0f, extend_input_len=99, rem_tokens=8192
[2025-12-07 23:39:38] Running chunked_prefill: req=d66752b151264c0db07482b824579558, extend_input_len=100, rem_tokens=8192
[2025-12-07 23:39:38] Running chunked_prefill: req=b21c9e23b798498db190afebccb4fc9d, extend_input_len=107, rem_tokens=8192
[2025-12-07 23:39:39] Running chunked_prefill: req=93d0fdfc30d34dcba218082979e25d9d, extend_input_len=99, rem_tokens=8192
[2025-12-07 23:39:39] Running chunked_prefill: req=20b212d5cc1049a2bbdca4e39655f5a4, extend_input_len=99, rem_tokens=8192
[2025-12-07 23:39:39] Running chunked_prefill: req=f9ac2e38b17645c08da8b870159ffa45, extend_input_len=100, rem_tokens=8192
[2025-12-07 23:39:40] Running chunked_prefill: req=67ed7d8fe9114aab8cd0629f6cab0bb7, extend_input_len=100, rem_tokens=8192
[2025-12-07 23:39:40] Running chunked_prefill: req=d4de101f1c0f4d5293144a25f80c14c5, extend_input_len=95, rem_tokens=8192
[2025-12-07 23:39:40] Running chunked_prefill: req=684d4921d3d5452f91f37be02df1d0af, extend_input_len=97, rem_tokens=8192
[2025-12-07 23:39:41] Running chunked_prefill: req=fe4139d4b2004b3e85247405b0cc2ced, extend_input_len=95, rem_tokens=4891
[2025-12-07 23:39:42] Running chunked_prefill: req=99f1a1de0102462699b59cca71b6d0ad, extend_input_len=98, rem_tokens=4397

=== Chunked Prefill Logs for meta-llama/Llama-3.1-8B at Mon Dec  8 12:26:40 AM UTC 2025 ===
[2025-12-07 23:42:51] Running chunked_prefill: req=66a528a97cc14be588c4d76be399d8c2, extend_input_len=57, rem_tokens=8192
[2025-12-07 23:52:12] Running chunked_prefill: req=722b4dc4da354dbfa3e792ed2cbc6178, extend_input_len=111, rem_tokens=8192
[2025-12-07 23:52:23] Running chunked_prefill: req=60287888888b43ed978e6d2ac1869d92, extend_input_len=17, rem_tokens=8192
[2025-12-07 23:55:37] Running chunked_prefill: req=66a528a97cc14be588c4d76be399d8c2, extend_input_len=169, rem_tokens=8192
[2025-12-07 23:56:45] Running chunked_prefill: req=749b676e545d4daabdcffc5e9e973739, extend_input_len=23, rem_tokens=1213
[2025-12-07 23:59:47] Running chunked_prefill: req=28709117fa544b75a6ecc5b4eaee0cbb, extend_input_len=114, rem_tokens=8192
[2025-12-08 00:01:43] Running chunked_prefill: req=88392b46385f492e840718166b2d6d0f, extend_input_len=6, rem_tokens=8192
[2025-12-08 00:03:37] Running chunked_prefill: req=3801ee66f4494ee192e3d4af4a37cafd, extend_input_len=113, rem_tokens=8192
[2025-12-08 00:07:23] Running chunked_prefill: req=d17504b24ad34018b633f865f7b69cf7, extend_input_len=111, rem_tokens=8192
[2025-12-08 00:11:17] Running chunked_prefill: req=8b9800e00901432196f9c7a48ea725db, extend_input_len=125, rem_tokens=8192
[2025-12-08 00:19:45] Running chunked_prefill: req=74c58da5f43a4f8bbdb7f72c9e38d498, extend_input_len=112, rem_tokens=8192
[2025-12-08 00:24:22] Running chunked_prefill: req=cd2e1bf4ff8d4304b71a589436ad86b8, extend_input_len=110, rem_tokens=8192
[2025-12-08 00:25:54] Running chunked_prefill: req=95e0d2f873a845fd9a956a56dc53da98, extend_input_len=108, rem_tokens=8192
[2025-12-08 00:25:54] Running chunked_prefill: req=6ba6e9c5e6f24aefbfd4cc245ca34cf9, extend_input_len=108, rem_tokens=8192
[2025-12-08 00:25:54] Running chunked_prefill: req=33304a555be3404cb9f5fcd5b1d0067f, extend_input_len=111, rem_tokens=8192
[2025-12-08 00:25:55] Running chunked_prefill: req=e157c5d4164d4d08b772c0dbbb5c7a85, extend_input_len=112, rem_tokens=8192
[2025-12-08 00:25:55] Running chunked_prefill: req=9144f7bd39974c33b62771f88ecff079, extend_input_len=111, rem_tokens=8192
[2025-12-08 00:25:55] Running chunked_prefill: req=964c9763b6e94bf08c48c4254755f0cd, extend_input_len=118, rem_tokens=8192
[2025-12-08 00:25:56] Running chunked_prefill: req=af34d4e0d22c4c27b0e1a133b0d35750, extend_input_len=114, rem_tokens=8192
[2025-12-08 00:25:56] Running chunked_prefill: req=eae767c78b084b41a8d9b1061e14ddfd, extend_input_len=113, rem_tokens=8192
[2025-12-08 00:25:56] Running chunked_prefill: req=2ba2940f7f7e47239f5137ca49470e18, extend_input_len=112, rem_tokens=8192
[2025-12-08 00:25:57] Running chunked_prefill: req=db30651b4f2c449b8985583adae3965b, extend_input_len=109, rem_tokens=8192
[2025-12-08 00:25:57] Running chunked_prefill: req=4228439c493e407685d999d8c9f02c47, extend_input_len=108, rem_tokens=8192
[2025-12-08 00:25:58] Running chunked_prefill: req=113d07b726884d39b99873dc332ad050, extend_input_len=106, rem_tokens=8192
[2025-12-08 00:25:58] Running chunked_prefill: req=60287888888b43ed978e6d2ac1869d92, extend_input_len=125, rem_tokens=8192
[2025-12-08 00:25:58] Running chunked_prefill: req=9e0cf6e0828a4186b2668131313bc9e4, extend_input_len=110, rem_tokens=8192
[2025-12-08 00:25:59] Running chunked_prefill: req=cce7d3d396d241b2a086d405a23ef5a2, extend_input_len=111, rem_tokens=8192
[2025-12-08 00:25:59] Running chunked_prefill: req=dec49d5bb60d4b65ac5db93a7b7a434f, extend_input_len=111, rem_tokens=8192
[2025-12-08 00:25:59] Running chunked_prefill: req=4241fd31cdcf42cc8e5265754fa52eb1, extend_input_len=112, rem_tokens=8192
[2025-12-08 00:26:00] Running chunked_prefill: req=545b158f628a412193b3e7d83cceed8e, extend_input_len=109, rem_tokens=8192
[2025-12-08 00:26:00] Running chunked_prefill: req=493f5414bc934bdeae22501a21b1242e, extend_input_len=119, rem_tokens=8192
[2025-12-08 00:26:00] Running chunked_prefill: req=6647e32ed67b4063a1e962c2a7ab6772, extend_input_len=107, rem_tokens=8192
[2025-12-08 00:26:01] Running chunked_prefill: req=749b676e545d4daabdcffc5e9e973739, extend_input_len=137, rem_tokens=8192
[2025-12-08 00:26:01] Running chunked_prefill: req=e7b431b531c74583a8d6f99d21276f49, extend_input_len=110, rem_tokens=8192
[2025-12-08 00:26:01] Running chunked_prefill: req=0264386935f84153ba1b03dddc3e4789, extend_input_len=128, rem_tokens=7317
[2025-12-08 00:26:07] Running chunked_prefill: req=9c2bc0049e32412caedc6cf4f264c21c, extend_input_len=108, rem_tokens=3629
[2025-12-08 00:26:08] Running chunked_prefill: req=b7c1495be3904a038e91a17a1e779256, extend_input_len=107, rem_tokens=8192
[2025-12-08 00:26:08] Running chunked_prefill: req=82af933e4a7e4ea6940603452a36af1b, extend_input_len=121, rem_tokens=3526
[2025-12-08 00:26:09] Running chunked_prefill: req=0be0e49101344d62a871cdae1d2a7d4a, extend_input_len=106, rem_tokens=8192
[2025-12-08 00:26:09] Running chunked_prefill: req=b04f7f27d62f45578fe6c1f5b7c71a05, extend_input_len=104, rem_tokens=8192
[2025-12-08 00:26:09] Running chunked_prefill: req=61b0f0630c874b02b974fe634244dad2, extend_input_len=106, rem_tokens=8192
[2025-12-08 00:26:10] Running chunked_prefill: req=88392b46385f492e840718166b2d6d0f, extend_input_len=112, rem_tokens=8192
[2025-12-08 00:26:10] Running chunked_prefill: req=876e639358244a9f8aa0dd542dcce95c, extend_input_len=105, rem_tokens=8192
[2025-12-08 00:26:10] Running chunked_prefill: req=689adcb11f9d4a849f3eb09f41abb8ee, extend_input_len=107, rem_tokens=8192
[2025-12-08 00:26:11] Running chunked_prefill: req=037749a897004c09a9b3b83137cf2a5d, extend_input_len=105, rem_tokens=8192
[2025-12-08 00:26:11] Running chunked_prefill: req=4fa77aeb578f4fc28eb48b9860289983, extend_input_len=104, rem_tokens=8192
[2025-12-08 00:26:11] Running chunked_prefill: req=1c7e6a32e89c46339d6cd2ad9300ffaa, extend_input_len=106, rem_tokens=8192
[2025-12-08 00:26:12] Running chunked_prefill: req=1992f6f33c57440f9d63e9388fd89379, extend_input_len=105, rem_tokens=8192
[2025-12-08 00:26:12] Running chunked_prefill: req=514104d9057a469c81b1e19543852536, extend_input_len=103, rem_tokens=8192
[2025-12-08 00:26:13] Running chunked_prefill: req=6d1f7bfbe4724d1fa58ff66baccbc55c, extend_input_len=103, rem_tokens=8192
[2025-12-08 00:26:13] Running chunked_prefill: req=5b4c28f1b0d14212b9b4fbc28c67daa3, extend_input_len=102, rem_tokens=4836
[2025-12-08 00:26:13] Running chunked_prefill: req=89a4dc03d4f342d69acf4a9287d43482, extend_input_len=106, rem_tokens=8192
[2025-12-08 00:26:14] Running chunked_prefill: req=489060859b8247dda5fd484cb06d4353, extend_input_len=107, rem_tokens=8192
[2025-12-08 00:26:14] Running chunked_prefill: req=330745062a8f4330a473c0dd822d0bf9, extend_input_len=101, rem_tokens=8192
[2025-12-08 00:26:14] Running chunked_prefill: req=35a15ebb148949f093afe0fcd8c773fe, extend_input_len=100, rem_tokens=8192
[2025-12-08 00:26:15] Running chunked_prefill: req=efdcc73229294f3fa75714c36203c64f, extend_input_len=105, rem_tokens=8192
[2025-12-08 00:26:15] Running chunked_prefill: req=7e04db15dcbe40c2b9375964cc66c4a2, extend_input_len=110, rem_tokens=8192
[2025-12-08 00:26:16] Running chunked_prefill: req=be13a31c9a3c4060b1bd3789f551d807, extend_input_len=101, rem_tokens=8192
[2025-12-08 00:26:16] Running chunked_prefill: req=efc57abe1ba1468a88c0798f30400f44, extend_input_len=96, rem_tokens=8192
[2025-12-08 00:26:16] Running chunked_prefill: req=ff388686fdc547b2a5f38f79fd5657db, extend_input_len=106, rem_tokens=8192
[2025-12-08 00:26:17] Running chunked_prefill: req=e2788af4ad6647c98aaf992e3b064b09, extend_input_len=107, rem_tokens=8192
[2025-12-08 00:26:17] Running chunked_prefill: req=27bd8521ff2d41fc8d59ebc1af8dc407, extend_input_len=106, rem_tokens=8192
[2025-12-08 00:26:17] Running chunked_prefill: req=b0a3991ac2f9433b85962a88a5f68eb0, extend_input_len=117, rem_tokens=8192
[2025-12-08 00:26:18] Running chunked_prefill: req=a0078bfe0cf84cefba2869c85b35e5b9, extend_input_len=101, rem_tokens=6252
[2025-12-08 00:26:18] Running chunked_prefill: req=fc7dfdb4698548c28f9903101fdca6d2, extend_input_len=101, rem_tokens=6270
[2025-12-08 00:26:23] Running chunked_prefill: req=9ac4711ab3e540a0bb59760b19a1f135, extend_input_len=100, rem_tokens=2275
[2025-12-08 00:26:23] Running chunked_prefill: req=c68999afef9949a7a69cb76c415b143c, extend_input_len=101, rem_tokens=8192
[2025-12-08 00:26:24] Running chunked_prefill: req=08d20b2f60844fbdb7047f2c754cc2de, extend_input_len=105, rem_tokens=8192
[2025-12-08 00:26:24] Running chunked_prefill: req=dcd35912c06a46c4978e9cd6fec3c3e2, extend_input_len=101, rem_tokens=8192
[2025-12-08 00:26:24] Running chunked_prefill: req=9522987b861b40c99eee9fd5a78976f7, extend_input_len=101, rem_tokens=8192
[2025-12-08 00:26:25] Running chunked_prefill: req=a992c7bebdf742658a2e46875af70f35, extend_input_len=101, rem_tokens=8192
[2025-12-08 00:26:25] Running chunked_prefill: req=8e0ac871a07a433ab677751ba7e0aa92, extend_input_len=99, rem_tokens=8192
[2025-12-08 00:26:25] Running chunked_prefill: req=f9afd74f1f794dce86bb71b13f93d35b, extend_input_len=103, rem_tokens=8192
[2025-12-08 00:26:26] Running chunked_prefill: req=a46b10b3fce54879bb6b1e6aef9acf16, extend_input_len=101, rem_tokens=8192
[2025-12-08 00:26:26] Running chunked_prefill: req=0481372a293e4e7f810e9dedc6d53ad7, extend_input_len=102, rem_tokens=8192
[2025-12-08 00:26:26] Running chunked_prefill: req=d8a091090ca547cb97ebb1b4fb222be5, extend_input_len=101, rem_tokens=8192
[2025-12-08 00:26:27] Running chunked_prefill: req=d4b4dc3d653340a1ab23a1b99dfe4ee5, extend_input_len=99, rem_tokens=8192
[2025-12-08 00:26:27] Running chunked_prefill: req=4e47b7239cb940dba4e2e10a7abaaa82, extend_input_len=99, rem_tokens=8192
[2025-12-08 00:26:28] Running chunked_prefill: req=1105a8f447d14ca79f7aab485c9a4594, extend_input_len=100, rem_tokens=8192
[2025-12-08 00:26:28] Running chunked_prefill: req=22fcb99cd4c6467d942e5245debd810e, extend_input_len=107, rem_tokens=8192
[2025-12-08 00:26:28] Running chunked_prefill: req=4ddcff6a73d34282baa3d5ded45bd75b, extend_input_len=100, rem_tokens=8192
[2025-12-08 00:26:29] Running chunked_prefill: req=9e0f8b85683b43c0b33770255b356ee2, extend_input_len=99, rem_tokens=8192
[2025-12-08 00:26:29] Running chunked_prefill: req=440765a0db724fde9aa3b59c4cf211c0, extend_input_len=100, rem_tokens=8192
[2025-12-08 00:26:29] Running chunked_prefill: req=f01266b6cecc471e82316755e05dc23b, extend_input_len=100, rem_tokens=8192
[2025-12-08 00:26:30] Running chunked_prefill: req=ce61fac0b63641d9a9077579baf07287, extend_input_len=96, rem_tokens=8192
[2025-12-08 00:26:30] Running chunked_prefill: req=b689c50f05d9422d825b3a1faff0021b, extend_input_len=97, rem_tokens=8192
[2025-12-08 00:26:30] Running chunked_prefill: req=4365d063a1084872b7d956b6fa6f1e1c, extend_input_len=93, rem_tokens=4895
[2025-12-08 00:26:31] Running chunked_prefill: req=815c2761af0e4e62a8f44fab89cc2f7d, extend_input_len=98, rem_tokens=4403

=== Chunked Prefill Logs for meta-llama/Llama-3.1-8B at Mon Dec  8 01:13:35 AM UTC 2025 ===
[2025-12-08 00:29:39] Running chunked_prefill: req=619499a34d4d4bc1b64c4699c253b61b, extend_input_len=57, rem_tokens=8192
[2025-12-08 00:38:48] Running chunked_prefill: req=61a9f847c9d342f3b24fc23df806a796, extend_input_len=111, rem_tokens=8192
[2025-12-08 00:39:11] Running chunked_prefill: req=bee6ee869dfb4d9bad4008f2fd0d00eb, extend_input_len=17, rem_tokens=8192
[2025-12-08 00:42:24] Running chunked_prefill: req=619499a34d4d4bc1b64c4699c253b61b, extend_input_len=169, rem_tokens=8192
[2025-12-08 00:43:33] Running chunked_prefill: req=324608beb3ff42b1ad6ec15424f4e6d7, extend_input_len=23, rem_tokens=1215
[2025-12-08 00:46:35] Running chunked_prefill: req=fb07f8e386734683a0e26822b12b264c, extend_input_len=114, rem_tokens=8192
[2025-12-08 00:48:33] Running chunked_prefill: req=34bd65257bd74fc38634f81a992c9ebf, extend_input_len=6, rem_tokens=8192
[2025-12-08 00:50:27] Running chunked_prefill: req=cd06a5f192d844abafefd943abc2e987, extend_input_len=113, rem_tokens=8192
[2025-12-08 00:54:13] Running chunked_prefill: req=d3141fa1f98e45c8ad42056b31111043, extend_input_len=111, rem_tokens=8192
[2025-12-08 00:58:07] Running chunked_prefill: req=c0e56fe43b5d4755bc5908439bf8d058, extend_input_len=125, rem_tokens=8192
[2025-12-08 01:06:32] Running chunked_prefill: req=5b6521b3afe04a74a5651354d0d0d2ea, extend_input_len=112, rem_tokens=8192
[2025-12-08 01:10:54] Running chunked_prefill: req=2bff2831878246e99bdfb4e7ca6ef110, extend_input_len=110, rem_tokens=8192
[2025-12-08 01:12:47] Running chunked_prefill: req=ee06f5dc80f24bf2a42494d9fd6d6cb0, extend_input_len=108, rem_tokens=8192
[2025-12-08 01:12:47] Running chunked_prefill: req=c9d38ed19d8c4aaca114b95bf49eb646, extend_input_len=108, rem_tokens=8192
[2025-12-08 01:12:47] Running chunked_prefill: req=9445f4321d5e4cf8b729cac7eb1735c2, extend_input_len=111, rem_tokens=8192
[2025-12-08 01:12:48] Running chunked_prefill: req=95a075e0720f4c8dab3c944d0db247ef, extend_input_len=112, rem_tokens=8192
[2025-12-08 01:12:48] Running chunked_prefill: req=adc5049c67774597be7347ed72a076cf, extend_input_len=112, rem_tokens=8192
[2025-12-08 01:12:48] Running chunked_prefill: req=f2f95fbe36724ee4b2487ea1ad0ab16c, extend_input_len=118, rem_tokens=8192
[2025-12-08 01:12:49] Running chunked_prefill: req=9e705f41aa7648fe87498ba1185a26a7, extend_input_len=114, rem_tokens=8192
[2025-12-08 01:12:49] Running chunked_prefill: req=ba5eec7db993494980e23814f384627c, extend_input_len=113, rem_tokens=8192
[2025-12-08 01:12:49] Running chunked_prefill: req=2fec81abfba34630b5f27da4539a3aa2, extend_input_len=112, rem_tokens=8192
[2025-12-08 01:12:50] Running chunked_prefill: req=d0f5993bf51a478da3feecbe8e125a0e, extend_input_len=109, rem_tokens=8192
[2025-12-08 01:12:50] Running chunked_prefill: req=5815fd1f8a0e4aa890f09100a24a5a7c, extend_input_len=108, rem_tokens=8192
[2025-12-08 01:12:50] Running chunked_prefill: req=089108c4e5234cdbbac7ad42f89e070d, extend_input_len=108, rem_tokens=8192
[2025-12-08 01:12:51] Running chunked_prefill: req=bee6ee869dfb4d9bad4008f2fd0d00eb, extend_input_len=125, rem_tokens=8192
[2025-12-08 01:12:51] Running chunked_prefill: req=cc08c14b29ee4f148a111c64bc105b8b, extend_input_len=110, rem_tokens=8192
[2025-12-08 01:12:52] Running chunked_prefill: req=8f9ad00ec9244f638904cb1c09d86039, extend_input_len=111, rem_tokens=8192
